Sector,Domain,Note
upper,coloradoriverrecovery.org,"Upper Colorado River Endangered Fish Recovery Program, U.S. Fish and Wildlife Service -- Note added 7/23/14 13:45"
dot,completestreetsnc.org,North Carolina DOT Complete Streets -- Note added 1/22/14 18:53
correction,correctionenterprises.com,"Correction Enterprises, North Carolina Department of Public Safety -- Note added 7/24/13 14:00"
crawfish,crawfish.org,Louisiana Crawfish Promotion and Research Board (LCPRB) -- Note added 9/22/15 16:53
superior,cscj.org,Georgia Superior Courts -- Note added 8/25/15 14:44
state,ctbiglist.com,Connecticut State Treasury Unclaimed Property Owners List -- Note added 12/15/14 6:38
center,ctg.albany.edu,"Center for Technology at the University at Albany, State University of New York -- Note added 6/29/15 15:02"
lottery,ctlottery.org,Connecticut lottery -- Note added 6/12/13 14:06
state,ctstatelibrary.org,Connecticut State Library -- Note added 7/26/13 16:15
travel,ctvisit.com,Travel and Tourism Site for Connecticut -- Note added 6/6/13 19:28
clean,cwmtf.net,Clean Water Management Trust Fund  -- Note added 9/11/15 19:49
il,cyberdriveillinois.com,IL Secretary of State -- Note added 7/1/14 20:19
national,DelawareNationalGuard.com,Delaware National Guard -- Note added 1/23/14 14:03
division,desncc.com,"Division of Employment Security (DES), NC Department of Commerce (NCC) -- Note added 9/22/15 14:15"
jobquest,detma.org,"Massachusetts JobQuest, Massachusetts Deparment of Career Services -- Note added 12/17/14 15:04"
digital,digitalmaine.com,"About the Digital Maine Repository The Digital Maine Repository is one of several services of the Maine State Library to facilitate digitization of - and enhanced access to - collections related to Maine history, genealogy, culture and government. The repository was designed to host a variety of media including books, images, maps and documents, as well as audio and video collections.  -- Note added 12/8/16 22:08"
travel,discoverohio.com,Travel and Tourism Site for Ohio -- Note added 6/6/13 19:30
travel,discoversouthcarolina.com,Travel and Tourism Site for South Carolina -- Note added 6/6/13 19:30
department,dmvnow.com,Virginia Department of Motor Vehicles -- Note added 6/6/14 20:27
american,doe.as,American Samoa Department of Education -- Note added 4/4/14 10:58
nc,dornc.com,NC Dept of Revenue -- Note added 9/11/15 19:50
driving,driving95.com,"Driving95 Corridor Planning and Finance Study website, North Carolina Department of Transportation (NCDOT) -- Note added 9/22/15 16:56"
national,drugcontrolprogram.org,Wisconsin National Guard Drug Control Program -- Note added 1/23/14 14:03
myeatsmartmovemorecom,eatsmartmovemorenc.com,myeatsmartmovemore.com is the 'consumer' site and eatsmartmovemorenc.com is the 'program' site. -- Note added 7/24/13 16:22
educational,ecb.org,Educational Communications Board of WI -- Note added 8/5/14 5:24
environmental,ehb.courtapps.com,"Environmental Hearing Board, State of Pennsylvania -- Note added 11/19/13 12:52"
environmental,ehopac.org,Environmental Health Officer Professional Advisory Committee -- Note added 6/14/13 19:13
office,elderrightsva.org,Virginia Office of the State Long-Term Care Ombudsman -- Note added 8/27/15 15:01
state,energy.wsu.edu,Washington State University ExtensionEnergy Program -- Note added 11/20/14 7:13
energy,energync.net,"The Energy Section in the Division of Energy, Mineral and Land Resources  -- Note added 9/11/15 19:55"
office,enjoyillinois.com,Illinois Office of Tourism -- Note added 7/1/14 20:35
environmental,envhelp.org,environmental help website of NC -- Note added 9/11/15 19:56
environmental,environmentaltrust.org,Nebraska Environmental Trust -- Note added 12/6/13 19:52
site,ewgateway.org,This is a site of the east-west gateway Council of Government in the bi-state St. Louis area. -- Note added 10/1/15 20:20
executive,exact-me.org,Executive Action Team (EXACT) Multilateral Working Group on Water Resources -- Note added 8/19/13 16:18
travel,experiencewa.com,Travel and tourism site for Washington State -- Note added 6/6/13 19:36
travel,exploregeorgia.org,Travel and Tourism Site for Georgia -- Note added 6/6/13 19:36
travel,exploreminnesota.com,Travel and tourism site for state of Minnesota hosted by Explore Minnesota Tourism -- Note added 4/26/15 2:33
cooperative,ext.vt.edu,Virginia Cooperative Extension  -- Note added 6/6/14 20:29
