Sector,Domain,Note
bureau,ohiobwc.com,Ohio Bureau of Workers' Compensation -- Note added 3/26/14 18:21
humanities,ohiohumanities.org,Ohio Humanities Council -- Note added 3/26/14 18:28
lottery,ohiolottery.com,Ohio Lottery -- Note added 6/12/13 14:22
recorders,ohiorecorders.com,Ohio Recorders' Association -- Note added 3/26/14 18:36
historical,ohs.org,Oregon Historical Society -- Note added 6/20/14 7:38
ok,okcareertech.org,OK career tech website -- Note added 8/28/15 18:21
ok,okdhs.org,OK dept of human services -- Note added 8/28/15 18:21
oklibshare,oklibshare.org,"OKLibShare, Oklahoma Department of Libraries -- Note added 8/27/15 16:00"
ok,oklpgas.org,OK LP Gas commission -- Note added 8/28/15 18:22
state,olmsteadva.com,State of Virginia Olmstead Initiative -- Note added 8/27/15 14:13
municipal,omlohio.org,Ohio Municipal League -- Note added 3/26/14 18:40
office,onencnaturally.org,"Office of Land and Water Stewardship, a non-regulatory division within North Carolina's DENR that provides information and assistance to support effective conservation and resilient communities.  -- Note added 11/12/15 12:36"
arts,oregonartscommission.org,Oregon Arts Commission -- Note added 6/20/14 7:34
governors,oregonfilm.org,Oregon Governor's Office of Film and Television -- Note added 3/20/14 16:53
lottery,oregonlottery.org,Oregon Lottery -- Note added 6/12/13 14:22
state,oregonstatefair.org,Oregon State Fair -- Note added 6/20/14 7:22
resources,origins.ou.edu,"The Oklahoma Resources Integration General Information Network System (Origins) is an online database which contains economic, social, and demographic data intended for use by community leaders, educators, businesses, government agencies, and decision makers. -- Note added 8/28/15 18:22"
office,osbckansas.org,Office of the State Bank Commissioner of Kansas -- Note added 7/10/14 6:29
ok,oscn.net,OK State Court System -- Note added 8/28/15 18:23
office,ospmd.org,Office of the Maryland State Prosecutor -- Note added 5/27/14 3:40
division,p2pays.org,North Carolina Division of Environmental Assistance and Customer Service   -- Note added 9/15/15 17:43
commonwealth,pacast.com,Commonwealth of Pennsylvania's media hub -- Note added 6/6/13 18:08
unified,pacourts.us,Unified Judicial System of Pennsylvania -- Note added 1/10/14 15:20
pa,paehealth.com,PA eHealth Partnership Authority -- Note added 6/7/13 11:53
firstnet,pafirstnet.com,Pennsylvania FirstNet. See also http://www.ntia.doc.gov/sligp/pennsylvania.  -- Note added 9/24/14 16:11
republic,palaugov.org,Republic of Palau National Government -- Note added 6/7/13 18:27
palau,palausupremecourt.net,Palau Judiciary Branch -- Note added 5/27/14 15:03
state,paonews.net,Georgia State Defense Force public affairs office. Website mirrored on gasdf.com. Referenced on https://ga.ng.mil/Leadership/Georgia-State-Defense-Force/.
parks,parkswildlifefoundation.org,South Dakota Parks & Wildlife Foundation -- Note added 7/17/14 5:50
pa,passhe.edu,PA State System of Higher Education -- Note added 6/7/13 11:53
pa,patientsafetyauthority.org,PA Patient Safety Authority -- Note added 6/7/13 11:53
turnpike,paturnpike.com,Pennsylvania Turnpike Commission -- Note added 10/1/14 18:05
pa,phc4.org,PA Health Care Cost Containment Council -- Note added 6/7/13 11:53
pa,pheaa.org,PA Higher Education Assistance Agency -- Note added 6/7/13 11:53
pa,phefa.org,PA Higher Educational Facilities Authority -- Note added 6/7/13 11:53
pa,phfa.org,PA Housing Finance Agency -- Note added 6/7/13 11:53
pat,phwd.net,"Pat Harrison Waterway District (PHWD), a Mississippi State Agency that provides camping, cabins and recreational facilities in Mississippi -- Note added 1/13/14 20:28"
ports,port-of-charleston.com,South Carolina Ports Authority -- Note added 6/6/13 18:08
port,portofvirginia.com,The Port of Virginia -- Note added 7/14/14 17:09
state,potatoes.com,Washington State Potato Commission -- Note added 11/17/14 7:11
historical,preserveala.org,"Alabama Historical Commission, State of Alabama Historic Preservation Office -- Note added 7/15/13 18:19"
queen,qaronline.org,"Queen Anne's Revenge, a project of the http://www.qaronline.org/ North Carolina Department of Cultural Resources to educate the next generation on colonial life -- Note added 11/20/13 17:34"
uninsured,qis.net/~uef,"Uninsured Employers' Fund, State of Maryland -- Note added 11/20/13 17:37"
ok,rd.okstate.edu,OK State AG Econ at OSU -- Note added 8/28/15 18:25
ready,readync.org,"Ready NC, NC Department of Public Safety -- Note added 1/14/14 14:35"
ready,readypa.org,"Ready PA, Pennsylvania Emergency Management Agency -- Note added 4/16/14 15:38"
red,red-raspberry.org,Washington Red Raspberry Commission -- Note added 11/17/14 7:07
state,refrigerationboard.org,The State Board of Refrigeration Examiners -- Note added 9/15/15 17:47
division,rehabworks.org,Division of Vocational Rehabilitation - Florida Department of Education -- Note added 7/1/15 18:43
clean,ricwfa.com,Rhode Island Clean Water Finance Agency -- Note added 1/27/14 19:35
emissions,riinspection.org,Rhode Island Emissions and Safety Testing -- Note added 1/7/14 18:45
lottery,rilot.com,Rhode Island Lottery -- Note added 6/7/13 18:46
public,ripuc.org,Rhode Island Public Utilities Commission -- Note added 1/29/14 15:24
turnpike,ritba.org,Rhode Island Turnpike and Bridge Authority -- Note added 1/27/14 15:54
office,rmi-op.net,"Office of the President, Republic of the Marshall Islands -- Note added 6/12/13 13:31"
safemt,safemt.com,"SafeMT, a resource of the Montana State Fund for safety in Montana's workplaces. -- Note added 11/18/13 16:35"
nc,safesurrender.net,NC Safe Haven Law - Abandoned Infant Protection Law Site -- Note added 9/15/15 17:54
website,sahp.vcu.edu/vcoa,"The website of the Virginia Center on Aging (VCoA), a statewide agency created by the Virginia General Assembly and housed at Virginia Commonwealth University in the School of Allied Health Professions. VCoA works to protect and improve the quality of life of older Virginians, so that they might remain interdependent and contributing members to life in Virginia. -- Note added 6/27/14 14:23"
santee,santeecooper.com,"Santee Cooper, also known officially from the 1930s as the South Carolina Public Service Authority, is South Carolina's state-owned electric and water utility that came into being during the New Deal. -- Note added 8/25/14 16:04"
office,saonm.org,New Mexico Office of the State Auditor -- Note added 7/16/14 5:38
save,savewaternc.org,Save Water NC -- Note added 11/12/15 12:34
state,sbafla.com,"Florida State Board of Administration, created by the Florida Constitution and is governed by a three-member Board of Trustees (Trustees), comprised of the Governor as Chair, the Chief Financial Officer and the Attorney General. -- Note added 8/25/14 16:59"
state,sbctc.ctc.edu,Washington State Board for Community and Technical Colleges -- Note added 4/8/14 18:22
state,scbwa.org,"State College Borough Water Authority, PA -- Note added 10/1/14 20:16"
sc,sccommerce.com,SC dept of commerce -- Note added 8/28/15 15:19
sc,sccourts.org,SC judicial courts -- Note added 8/28/15 15:19
sc,scdmvonline.com,SC DMV -- Note added 8/28/15 15:20
education,sceducationlottery.com,South Carolina Education Lottery -- Note added 6/12/13 14:24
emergency,scemd.org,South Carolina Emergency Management Division -- Note added 8/28/15 15:20
sc,scfirststeps.org,SC early childhood education program -- Note added 8/28/15 15:20
sc,scgovernorsmansion.org,SC Gov Mansion  -- Note added 8/28/15 15:23
sc,scgssm.org,SC govoners school for science and math -- Note added 8/28/15 15:23
sc,scguard.com,SC National Guard -- Note added 8/28/15 15:24
state,schev.edu,"The State Council of Higher Education for Virginia (SCHEV) makes higher education public policy recommendations to the Governor and General Assembly in such areas as capital and operating budget planning, enrollment projections, institutional technology needs, and student financial aid. -- Note added 6/27/14 14:25"
school,schoolclearinghouse.org,"School Planning Section, North Carolina Department of Public Instruction -- Note added 8/25/14 15:01"
independent,scilconline.org,South Carolina Independent Living Council (SCILC) -- Note added 9/22/15 15:16
independent,scilconlineblog.org,South Carolina Independent Living Council (SCILC) -- Note added 9/22/15 15:17
epscoridea,scinbre.org,"The South Carolina EPSCoR/IDeA Program, CCCR COBRE, and the USC School of Medicine Instrumentation Resource Facility -- Note added 8/28/15 15:28"
sc,scpcf.com,SC malpractice patient compensation fund -- Note added 8/28/15 15:27
school,scsdb.org,South Carolina School for the Deaf and Blind -- Note added 8/25/14 15:03
statewide,scsilc.com,South Carolina Statewide Independent Living Council (SILC) -- Note added 9/22/15 15:19
sc,scsos.com,SC sec of state -- Note added 8/28/15 15:29
department,sctax.org,South Carolina Department of Revenue -- Note added 8/25/14 15:04
higher,sctuitiongrants.com,South Carolina Higher EducationTuition Grants Commission -- Note added 8/28/15 15:30
sc,scvotes.org,SC State Election Committee -- Note added 8/28/15 15:30
sc,scvrd.net,SC Vocab Rehab -- Note added 8/28/15 15:31
department,sddot.com,South Dakota Department of Transportation -- Note added 7/17/14 5:53
housing,sdhda.org,South Dakota Housing Development Authority -- Note added 7/17/14 5:54
state,seanc.org,STATE EMPLOYEES ASSOCIATION OF NORTH CAROLINA -- Note added 9/15/15 17:56
seeking,seekingmichigan.org,"Seeking Michigan, the online platform for the http://michigan.gov/mhc Michigan Historical Center. It includes http://www.michigan.gov/archivesofmi Archives of Michigan research guides and indexes, a blog, and educator resources&ndash;all from the Michigan Historical Center and Archives of Michigan staff. -- Note added 7/9/14 12:06"
senate,senate.mn,Minnesota Senate -- Note added 11/9/15 20:36
authorized,servicearizona.com,"Authorized Service Website for the Arizona Department of Transportation, Motor Vehicle Division -- Note added 1/10/14 19:17"
state,shipmspa.com,Mississippi State Port Authority -- Note added 7/25/14 20:50
state,shpnc.org,North Carolina State Health Plan for Teachers and State Employees -- Note added 7/25/14 15:10
sled,sled.alaska.edu,SLED (Statewide Library Electronic Doorway) -- Note added 6/6/13 18:08
state,slph.ncpublichealth.com,"State Laboratory of Public Health, NC Division of Public Health -- Note added 7/26/13 15:11"
science,smv.org,"Science Museum of Virginia, located in Richmond, VA -- Note added 7/11/14 18:43"
nc,sosnc.com,NC Secretary Of State -- Note added 9/15/15 17:58
arts,southcarolinaarts.com,south carolina arts commission -- Note added 8/28/15 15:32
historical,southcarolinahistoricalsociety.org,south carolina historical society -- Note added 8/28/15 15:32
pa,spsba.org,PA State Public School Building Authority -- Note added 6/7/13 11:53
susquehanna,srbc.net,"Susquehanna River Basin Commission - The Susquehanna River Basin Compact, was signed into law on December 24, 1970. The Compact, as adopted by the Congress of the United States, and the legislatures of New York State, Pennsylvania and Maryland, provides the mechanism to guide the conservation, development, and administration of the water resources of the vast river basin. -- Note added 6/26/13 16:30"
start,startsquad.org,"Start Squad, kid's portal to the State Library of North Carolina -- Note added 8/25/14 12:12"
justuswarren,startwithyourheart.com,North Carolina's Justus-Warren Heart Disease and Stroke Prevention Task Force -- Note added 11/10/15 20:35
stateakus,state.ak.us,"*state.ak.us pattern to include Alaska state agencies, such as those at: https://www.google.com/#q=site:state.ak.us  -- Note added 7/8/14 12:25"
statealus,state.al.us,"*state.al.us pattern to include Alabama state agencies, such as those at: https://www.google.com/#q=site:state.al.us  -- Note added 7/8/14 12:26"
statearus,state.ar.us,*state.ar.us pattern for State of Arkansas agencies -- Note added 7/17/13 19:01
stateazus,state.az.us,"*state.az.us pattern to include Arizona state agencies, such as those at https://www.google.com/#q=site:state.az.us.  -- Note added 12/13/13 13:17"
statecaus,state.ca.us,"*state.ca.us pattern to include California state agencies, such as those at: https://www.google.com/#q=site:state.ca.us  -- Note added 6/27/14 16:14"
included,state.co.us,"Included to find *.state.co.us pattern to find state websites, such as https://www.google.com/search?q=site%3Astate.co.us  -- Note added 1/14/14 15:07"
stateflus,state.fl.us,"*state.fl.us pattern to include Florida state agencies, such as those at: https://www.google.com/#q=site:state.fl.us   -- Note added 6/27/14 16:15"
state,state.ga.us,State of Ga website -- Note added 8/25/15 16:09
state,state.ia.us,State of Iowa -- Note added 8/26/15 13:51
pattern,state.id.us,Pattern for *state.id.us websites -- Note added 7/8/13 19:27
state,state.il.us,State of Illinois -- Note added 7/3/14 17:38
state,state.in.us,state of  Indiana -- Note added 8/27/15 14:57
ky,state.ky.us,Ky Website -- Note added 8/27/15 16:57
state,state.lib.la.us,State Library of Louisiana -- Note added 7/26/13 16:18
mass,state.ma.us,Mass State Website -- Note added 8/26/15 16:22
state,state.md.us,"State website is at http://www.maryland.gov. state.md.us pattern to include Maryland state agencies, such as those at https://www.google.com/#q=site:state.md.us. -- Note added 7/23/14 16:07"
state,state.me.us,state of maine -- Note added 8/27/15 20:01
state,state.mi.us,state of michigan -- Note added 9/3/15 16:11
gov,state.mn.us,Minnesota.gov portal; 'electronic entry point to Minnesota State government information and services' -- Note added 6/2/15 1:37
state,state.ms.us,State of Mississippi -- Note added 7/8/14 12:53
stateneus,state.ne.us,*.state.ne.us pattern to include several state agencies. -- Note added 12/9/13 18:31
nh,state.nh.us,NH State Website -- Note added 9/2/15 19:11
httpwwwstatenjus,state.nj.us,"http://www.state.nj.us/ and http://www.nj.gov both resolve to the same site. n*state.nj.us pattern to include New Jersey state agencies, such as those at: https://www.google.com/#q=site:state.nj.us  -- Note added 7/8/14 13:04"
state,state.nm.us,State of New Mexico -- Note added 7/16/14 5:42
state,state.oh.us,State of Ohio -- Note added 3/27/14 18:36
state,state.ok.us,State of OK website -- Note added 8/28/15 18:27
httpwwwstateorus,state.or.us,"http://www.state.or.us/ resolves to a non-styled version of http://www.oregon.gov/  n*state.or.us pattern included here to find State of Oregon agencies, such as: https://www.google.com/search?q=site:state.or.us -- Note added 7/17/14 17:40"
state,state.sc.us,State of SC  -- Note added 8/28/15 15:35
state,state.sd.us,South Dakota State Government Website -- Note added 7/17/14 6:01
official,state.tn.us,Official site of the Tennessee Government -- Note added 6/26/14 13:27
official,state.va.us,The official website of the Commonwealth of Virginia -- Note added 6/27/14 14:50
state,state.vt.us,State of Vermont -- Note added 8/15/14 14:27
state,state.wa.us,State of Washington -- Note added 11/17/14 6:48
statewius,state.wi.us,"*.state.wi.us pattern is included here for various Department-level agencies, such as those at: https://www.google.com/search?q=site%3Astate.wi.us  Requires 'www' to resolve. -- Note added 4/2/14 12:49"
state,state.wy.us,State of Wyoming travel and tourism website -- Note added 7/23/14 5:34
state,statefair.org,Nebraska State Fair -- Note added 12/6/13 19:53
staten,statenislandusa.com,"Staten Island Borough President, New York, NY -- Note added 11/20/13 18:23"
nc,surpluspropertydivision.com,NC Division of Surplus Property -- Note added 9/15/15 18:02
nc,sustainablenc.org,NC sustainability connection -- Note added 9/15/15 18:06
welcome,teach4nc.com,"Welcome to Teach4NC, dedicated to the recruitment of teaching professionals for public schools in North Carolina. -- Note added 9/15/15 18:19"
holocaust,tennesseeholocaustcommission.org,Tennessee Holocaust Commission -- Note added 6/26/14 7:22
state,texasbar.com,State Bar of Texas -- Note added 6/20/14 16:58
foreign,tfli.org,Tennessee Foreign Language Institute -- Note added 6/26/14 7:21
housing,thda.org,Tennessee Housing Development Agency -- Note added 6/26/14 7:19
cabinet,thinkkentucky.com,kentucky cabinet of economic development -- Note added 8/27/15 16:58
municipal,tmrs.org,Texas Municipal Retirement System (TMRS)  -- Note added 8/18/14 16:14
district,tndagc.org,Tennessee District Attorneys General Conference -- Note added 6/26/14 7:16
emergency,tnema.org,Tennessee Emergency Management Agency -- Note added 6/26/14 7:15
lottery,tnlottery.com,Lottery Tennessee -- Note added 6/12/13 14:26
national,tnmilitary.org,Tennessee National Guard -- Note added 6/26/14 7:13
vacation,tnvacation.com,"Tennessee Vacation, the travel and tourism site for the state of Tennessee -- Note added 8/18/14 15:23"
parks,tpwmagazine.com,Texas Parks and Wildlife magazine -- Note added 3/20/14 16:35
travel,travelalaska.com,Travel and Tourism Site for Alaska -- Note added 6/6/13 19:44
travel,traveliowa.com,Travel and Tourism Site for Iowa -- Note added 6/6/13 19:44
travel,travelks.com,Travel and Tourism Site for Kansas -- Note added 6/6/13 19:44
travel,travelnevada.com,Travel and Tourism Sites for Nevada -- Note added 6/6/13 19:11
travel,travelok.com,Travel and Tourism Sites for Oklahoma -- Note added 6/6/13 19:11
travel,traveloregon.com,"Travel and Tourism Site for Oregon, Oregon Tourism Commission -- Note added 7/23/14 16:09"
travel,travelsd.com,Travel and Tourism Sites for South Dakota -- Note added 6/6/13 19:11
travel,traveltex.com,Travel and Tourism Sites for Texas -- Note added 6/6/13 19:11
travel,travelwisconsin.com,Travel and Tourism Sites for Wisconsin -- Note added 6/6/13 19:11
state,treasurer.org,Nebraska State Treasurer -- Note added 12/6/13 20:03
tree,treefruitresearch.com,Washington Tree Fruit Research Commission -- Note added 11/12/14 6:37
state,tsa-wa.org,Washington State Tobacco Settlement Authority -- Note added 4/8/14 18:29
lottery,txlottery.org,Texas Lottery -- Note added 6/12/13 14:26
university,uaex.edu,"University of Arkansas, Division of AgricultureResearch & Extension, University of Arkansas System Arkansas Cooperative Extension Service -- Note added 12/10/14 7:11"
university,uaf.edu/ces/,University of Alaska Fairbanks Cooperative Extension Service -- Note added 6/7/13 16:34
university,uidaho.edu/extension,University of Idaho Extension -- Note added 7/8/13 14:29
us,usviber.org,U.S. Virgin Islands Bureau of Economic Research -- Note added 8/18/14 14:14
us,usvieda.org,U.S. Virgin Islands Economic Development Authority -- Note added 8/18/14 14:12
university,uvm.edu/extension,University of Vermont Extension -- Note added 8/18/14 5:33
university,uwex.edu,University of Wisconsin-Extension -- Note added 8/12/14 5:36
university,uwyo.edu/CES,University of Wyoming Cooperative Extension Service -- Note added 7/23/14 5:39
state,va-src.org,Virginia State Rehabilitation Council (SRC) -- Note added 8/27/15 14:12
association,vaao.org,"The Virginia Association of Assessing Officers is a professional organization of assessors and appraisers from state and local governments throughout the Commonwealth. The organization's mission is to improve assessment standards, disseminate information on assessment practices, and provide continuing education to its members. -- Note added 7/11/14 18:56"
board,vaboard.org,Virginia Board for People with Disabilities -- Note added 7/11/14 18:57
commonwealth,vacni.org,Virginia Commonwealth Neurotrauma Initiative (CNI) Trust Fund -- Note added 9/3/15 11:28
department,vadars.org,Virginia Department for Aging and Rehabilitative Services -- Note added 8/27/15 14:22
department,vadrs.org,Virginia Department for Aging and Rehabilitative Services -- Note added 6/6/13 18:09
disability,vadsa.org,Virginia Disability Services Agencies -- Note added 7/14/14 16:54
department,vafire.com,Virginia Department of Fire Programs -- Note added 6/12/13 18:15
lottery,valottery.com,Virginia Lottery -- Note added 6/12/13 14:27
statewide,vasilc.org,Virginia Statewide Independent Living Council -- Note added 9/3/15 11:14
assistive,vats.org,Virginia Assistive Technology System -- Note added 7/11/14 19:06
career,vcef.net,Virginia Career Education Foundation is a non-profit organization that works to increase the number of qualified applicants available to fill technical positions throughout the Commonwealth of Virginia. -- Note added 7/11/14 19:07
department,vdbvi.org,Virginia Department for the Blind and Vision Impaired -- Note added 7/11/14 19:09
department,vddhh.org,Virginia Department for the Deaf and Hard of Hearing (VDDHH) -- Note added 7/11/14 19:09
state,vendor.ncgov.com,State of North Carolina's Vendor Registration -- Note added 1/14/14 13:04
arts,vermontartscouncil.org,Vermont Arts Council -- Note added 8/18/14 5:35
historical,vermonthistory.org,Vermont Historical Society -- Note added 8/18/14 5:36
travel,VermontVacation.com,Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19
housing,vhda.com,Virginia Housing Development Authority -- Note added 7/11/14 19:10
housing,vhfa.org,Vermont Housing Finance Agency -- Note added 8/18/14 5:37
horse,vhib.org,The Virginia Horse Industry Board is responsible for the promotion and economic development of the horse industry in Virginia and operates through the Virginia Department of Agriculture and Consumer Services. -- Note added 7/11/14 19:12
industries,vibonline.org,"Virginia Industries for the Blind, Commonwealth of Virginia -- Note added 9/3/15 11:46"
department,vide.vi,Virgin Islands Department of Education -- Note added 8/18/14 14:08
office,viig.org,Office of the Virgin Islands Inspector General -- Note added 8/18/14 14:13
us,vipd.gov.vi,U.S. Virgin Islands Police Department -- Note added 8/18/14 14:16
travel,virginia.org,Travel and Tourism Sites for Virginia -- Note added 6/6/13 19:11
college,virginia529.com,Virginia College Savings Plan -- Note added 7/11/14 19:18
economic,virginiaallies.org,Virginia Economic Development Partnership's Ally Information Exchange -- Note added 7/11/14 20:17
department,virginiadot.org,Virginia Department of Transportation -- Note added 7/11/14 20:18
resources,virginiaresources.org,Virginia Resources Authority -- Note added 7/11/14 20:19
travel,visitcalifornia.com,Travel and Tourism Site for California -- Note added 8/27/13 12:59
welcome,visitcwc.com,California Welcome Centers -- Note added 8/27/13 12:58
travel,visitdelaware.com,Travel and Tourism Sites for Delaware -- Note added 6/6/13 19:11
travel,visitflorida.com,Travel and Tourism Site for Florida -- Note added 6/6/13 19:15
travel,visitguam.org,Travel and Tourism Sites for Guam -- Note added 6/6/13 19:11
travel,visitidaho.org,Travel and Tourism Site for Idaho -- Note added 6/6/13 19:48
travel,visitmaine.com,Travel and Tourism Sites for Maine -- Note added 6/6/13 19:11
travel,visitmaryland.org,Travel and Tourism Site for Maryland -- Note added 6/6/13 19:17
travel,visitmississippi.org,Travel and Tourism Sites for Mississippi -- Note added 6/6/13 19:11
travel,visitmo.com,Travel and Tourism Site for Missouri -- Note added 6/6/13 19:34
travel,visitmt.com,Travel and Tourism Site for Montana -- Note added 6/6/13 19:33
travel,visitnc.com,Travel and Tourism Site for North Carolina -- Note added 6/6/13 19:33
travel,visitnebraska.com,Travel and Tourism Site for Nebraska -- Note added 6/6/13 19:33
travel,visitpa.com,Travel and Tourism Site for Pennsylvania -- Note added 6/6/13 19:32
travel,visitrhodeisland.com,Travel and Tourism Site for Rhode Island -- Note added 6/6/13 19:32
travel,visitusvi.com,Travel and tourism site for the US Virgin Islands -- Note added 6/6/13 19:47
travel,visitutah.com,Travel and Tourism Site for Utah -- Note added 6/6/13 19:31
supreme,visupremecourt.org,Supreme Court of the United States Virgin Islands -- Note added 8/18/14 14:06
viva,vivaflorida.org,"Viva Florida 500 is a statewide initiative led by the Florida Department of State, under the leadership of Governor Rick Scott, to highlight the 500 years of historic people, places and events in present-day Florida since the arrival of Juan Ponce de Leon to the land he named La Florida in 1513. See more at http://www.vivaflorida.org/About-Viva-Florida/ -- Note added 7/23/14 14:01"
museum,vmnh.net,"Virginia Museum of Natural History in Martinsville, VA -- Note added 7/11/14 20:20"
governors,volunteerflorida.org,Florida Governor's Commission on Volunteerism and Community Service -- Note added 11/9/15 19:00
volunteer,volunteermississippi.org,"Volunteer Mississippi, A Mississippi Commission for Volunteer Service (MCVS) -- Note added 7/28/14 14:58"
commission,volunteernc.org,North Carolina Commission on Volunteerism and Community Service -- Note added 11/10/15 20:34
rehabilitation,vrcbvi.org,Virginia Rehabilitation Center for the Blind and Vision Impaired -- Note added 8/27/15 15:09
rural,vrwa.org,Virginia Rural Water Association -- Note added 7/23/13 19:42
state,vsb.org,Virginia State Bar -- Note added 7/11/14 20:21
national,vtguard.com,Vermont National Guard -- Note added 1/23/14 14:03
lottery,vtlottery.com,Vermont Lottery -- Note added 6/12/13 14:27
blueberry,wablueberrycomm.org,Washington Blueberry Commission -- Note added 11/12/14 6:30
hardwoods,wahardwoodscomm.com,Washington Hardwoods Commission -- Note added 11/12/14 6:29
state,walottery.com,Washington State Lottery -- Note added 12/2/14 7:23
state,waseedpotato.com,Washington State Seed Potato Commission -- Note added 11/12/14 6:26
travel,washington.org,Travel and Tourism Site for the District of Columbia -- Note added 6/6/13 19:31
air,washingtonairguard.org,Washington Air National Guard -- Note added 1/3/14 13:08
army,washingtonarmyguard.org,Washington Army National Guard -- Note added 1/23/14 14:03
national,washingtonguard.org,Washington National Guard -- Note added 1/23/14 14:03
state,washingtonwine.org,Washington State Wine Commission -- Note added 11/12/14 6:23
association,waspc.org,Washington Association of Sheriffs and Police Chiefs -- Note added 11/12/14 6:22
waterparkin,waterparkin.com,"Waterparkin', a website of the Pat Harrison Waterway District (PHWD) a Mississippi State Agency that provides camping, cabins and recreational facilities in Mississippi. See historical snaphot at: http://web.archive.org/web/20101224004547/http://waterparkin.com/  -- Note added 1/13/14 20:28"
way,waywelivednc.com,"The Way We Lived in North Carolina, presented by http://www.ah.dcr.state.nc.us/ The North Carolina Office of Archives & History. -- Note added 8/13/14 17:41"
state,wdfi.org,State of Wisconsin Department of Financial Institutions -- Note added 8/11/14 5:34
university,web.uri.edu/riaes/extension,University of Rhode Island Cooperative Extension -- Note added 6/7/13 18:31
economic,wedfa.org,Washington Economic Development Finance Authority -- Note added 11/12/14 6:21
womens,whb.ncpublichealth.com,"Women's Health Branch, NC Division of Public Health -- Note added 7/26/13 15:11"
housing,wheda.com,Wisconsin Housing and Economic Development Authority -- Note added 8/11/14 5:30
higher,whefa.org,Washington Higher Education Facilities Authority -- Note added 4/8/14 18:33
department,wildlifedepartment.com,Oklahoma Department of Wildlife Conservation - http://www.wildlifedepartment.com/  -- Note added 10/29/13 15:11
lottery,wilottery.com,Wisconsin Lottery -- Note added 6/12/13 14:28
lottery,winusvilottery.com,Virgin Islands Lottery -- Note added 6/12/13 14:29
historical,wisconsinhistory.org,Wisconsin Historical Society -- Note added 8/11/14 5:26
state,wisspd.org,Wisconsin State Public Defender's Office -- Note added 6/14/13 17:38
register,wrdaonline.org,Register of Deeds Association of Wisconsin -- Note added 8/11/14 5:23
nc,wrightschool.org,"NC Dept of Health and Human services, division of State operated healthcare facilities -- Note added 9/14/15 20:51"
state,wscc.com,Washington State Convention Center -- Note added 11/6/14 7:30
state,wscpr.org,Washington State Commission on Pesticide Registration -- Note added 11/6/14 7:32
state,wshfc.org,Washington State Housing Finance Commission -- Note added 11/6/14 7:27
state,wssb.org,Washington State School for the Blind -- Note added 7/31/13 16:31
west,wvagriculture.org,West Virginia Department of Agriculture -- Note added 3/31/14 13:07
west,wvcommerce.org,West Virginia Department of Commerce -- Note added 3/24/14 16:50
west,wvculture.org,West Virginia Division of Culture and History -- Note added 3/31/14 13:08
west,wvdhhr.org,West Virginia Department of Health and Human Resources -- Note added 7/24/14 5:50
west,wvhdf.com,West Virginia Housing Development Fund -- Note added 7/24/14 5:51
west,wvhepc.com,West Virginia Higher Education Policy Commission -- Note added 3/31/14 13:12
west,wvlabor.com,"West Virginia Department of Commerce, Division of Labor -- Note added 7/24/14 5:52"
west,wvlottery.com,West Virginia Lottery -- Note added 6/12/13 14:29
west,wvnet.edu,West Virginia Network for Educational Telecomputing -- Note added 7/24/14 5:54
west,wvretirement.com,West Virginia Consolidated Public Retirement Board -- Note added 3/31/14 13:33
west,wvstateparks.com,West Virginia State Parks -- Note added 3/31/14 13:34
west,wvsto.com,West Virginia State Treasurer's Office -- Note added 3/31/14 13:35
travel,wvtourism.com,Travel and Tourism Site for West Virginia -- Note added 6/6/13 19:18
west,wvwda.org,West Virginia Water Development Authority -- Note added 7/24/14 5:57
army,www.montanaguard.com/,Montana Army National Guard -- Note added 3/2/15 6:52
business,wyomingbusiness.org,Wyoming Business Council -- Note added 6/7/13 16:41
travel,wyomingtourism.org,Travel and Tourism Site for Wyoming -- Note added 6/6/13 19:31
economic,yesvirginia.org,"Virginia Economic Development Partnership. As a state authority, the Partnership is governed by a 25 member http://yesvirginia.org/AboutUs/BoardOfDirectors Board Of Directors comprised of businesspersons from around Virginia, each of whom is appointed by the http://www.governor.virginia.gov Governor and the General Assembly.  -- Note added 11/20/13 18:52"
