Sector,States,Domain,Note
national guard,['delaware'],DelawareNationalGuard.com,Delaware National Guard -- Note added 1/23/14 14:03
division employment,[],desncc.com,"Division of Employment Security (DES), NC Department of Commerce (NCC) -- Note added 9/22/15 14:15"
"jobquest ,",['massachusetts'],detma.org,"Massachusetts JobQuest, Massachusetts Deparment of Career Services -- Note added 12/17/14 15:04"
repository digital,['maine'],digitalmaine.com,"About the Digital Maine Repository The Digital Maine Repository is one of several services of the Maine State Library to facilitate digitization of - and enhanced access to - collections related to Maine history, genealogy, culture and government. The repository was designed to host a variety of media including books, images, maps and documents, as well as audio and video collections.  -- Note added 12/8/16 22:08"
travel tourism,['ohio'],discoverohio.com,Travel and Tourism Site for Ohio -- Note added 6/6/13 19:30
travel tourism,['south carolina'],discoversouthcarolina.com,Travel and Tourism Site for South Carolina -- Note added 6/6/13 19:30
department motor,['virginia'],dmvnow.com,Virginia Department of Motor Vehicles -- Note added 6/6/14 20:27
american samoa,[],doe.as,American Samoa Department of Education -- Note added 4/4/14 10:58
nc dept,[],dornc.com,NC Dept of Revenue -- Note added 9/11/15 19:50
driving95 corridor,['north carolina'],driving95.com,"Driving95 Corridor Planning and Finance Study website, North Carolina Department of Transportation (NCDOT) -- Note added 9/22/15 16:56"
national guard,['wisconsin'],drugcontrolprogram.org,Wisconsin National Guard Drug Control Program -- Note added 1/23/14 14:03
myeatsmartmovemore.com 'consumer,[],eatsmartmovemorenc.com,myeatsmartmovemore.com is the 'consumer' site and eatsmartmovemorenc.com is the 'program' site. -- Note added 7/24/13 16:22
educational communications,[],ecb.org,Educational Communications Board of WI -- Note added 8/5/14 5:24
environmental hearing,['pennsylvania'],ehb.courtapps.com,"Environmental Hearing Board, State of Pennsylvania -- Note added 11/19/13 12:52"
environmental health,[],ehopac.org,Environmental Health Officer Professional Advisory Committee -- Note added 6/14/13 19:13
office state,['virginia'],elderrightsva.org,Virginia Office of the State Long-Term Care Ombudsman -- Note added 8/27/15 15:01
state university,['washington'],energy.wsu.edu,Washington State University ExtensionEnergy Program -- Note added 11/20/14 7:13
energy section,[],energync.net,"The Energy Section in the Division of Energy, Mineral and Land Resources  -- Note added 9/11/15 19:55"
office tourism,['illinois'],enjoyillinois.com,Illinois Office of Tourism -- Note added 7/1/14 20:35
environmental help,[],envhelp.org,environmental help website of NC -- Note added 9/11/15 19:56
